# ключ	русский	английский — тексты по docs/GLOSSARY.md Android; после правки: python tools/strings.py
# Оболочка
AppTitleBar.Title	Melogold	Melogold
NavTrends.Content	Тренды	Trends
NavNew.Content	Новое	New
NavLibrary.Content	Библиотека	Library
NavSettings	Настройки	Settings
SearchBox.PlaceholderText	Поиск	Search
Back	Назад	Back
# Разделы
TrendsTitle.Text	Тренды	Trends
NewTitle.Text	Новое	New
LibraryTitle.Text	Библиотека	Library
SettingsTitle.Text	Настройки	Settings
# Состояния (REWRITE §3.0)
ErrorOffline	Нет соединения с YouTube. Проверьте сеть или VPN	Can't reach YouTube. Check your network or VPN
ErrorBlocked	YouTube не ответил: проверка на бота или блокировка. Попробуйте позже или смените сеть	YouTube didn't respond: a bot check or a block. Try again later or switch networks
ErrorParser	YouTube изменил страницу. Исправление придёт с обновлением	YouTube changed its page. A fix will come with an update
ErrorUnknown	Что-то пошло не так	Something went wrong
Retry	Повторить	Retry
CheckUpdates	Проверить обновления	Check for updates
Diagnostics	Диагностика	Diagnostics
NothingFound	Ничего не нашлось	Nothing found
OfflineSince	Нет сети — данные от {0}	Offline — data from {0}
# Настройки
SettingsAppearance.Text	Внешний вид	Appearance
SettingsTheme.Header	Тема	Theme
ThemeSystem.Content	Как в системе	System default
ThemeLight.Content	Светлая	Light
ThemeDark.Content	Тёмная	Dark
SettingsAbout.Text	О приложении	About
SettingsVersion.Header	Melogold	Melogold
VersionFormat	Версия {0}	Version {0}
SettingsDiagnostics.Header	Диагностика	Diagnostics
SettingsDiagnostics.Description	Журналы приложения: пригодятся, если что-то не работает	App logs, useful if something doesn't work
OpenLogs.Content	Открыть папку	Open folder
SettingsSource.Header	GitHub	GitHub
SettingsSource.Description	Просмотреть исходный код	View the source code
SettingsReportBug.Header	Сообщить о проблеме	Report an issue
SettingsReportBug.Description	Если вам нужна помощь с ошибкой, вы можете оставить запрос на GitHub	If you need help with a bug you can file an issue on GitHub
SettingsRequestFeature.Header	Запросить функцию или предложить идею	Request a feature or suggest an idea
SettingsRequestFeature.Description	Вы будете перенаправлены на GitHub	You will be redirected to GitHub
OpenSource.Content	Открыть	Open
SettingsWithoutAccount.Header	Работает без аккаунта	Works without an account
SettingsWithoutAccount.Description	Войдите, чтобы Избранное, плейлисты и сохранённое совпадали на всех устройствах	Sign in to keep Favorites, playlists and saved items the same on all your devices
SignIn	Войти	Sign in
SettingsServer.Header	Сервер Melogold	Melogold server
# Пустые разделы
ComingSoon	Скоро здесь	Coming soon
# Плеер
Play	Воспроизвести	Play
Pause	Пауза	Pause
RepeatOff	Повтор выключен	Repeat off
RepeatAll	Повтор очереди	Repeat queue
RepeatOne	Повтор трека	Repeat track
PlayerArtwork.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	Сейчас играет	Now playing
PlayerLike.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	В Избранное	Add to Favorites
PlayerLike.[using:Microsoft.UI.Xaml.Controls]ToolTipService.ToolTip	В Избранное	Add to Favorites
PlayerShuffle.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	Перемешать	Shuffle
PlayerShuffle.[using:Microsoft.UI.Xaml.Controls]ToolTipService.ToolTip	Перемешать	Shuffle
PlayerPrevious.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	Предыдущий трек	Previous track
PlayerPrevious.[using:Microsoft.UI.Xaml.Controls]ToolTipService.ToolTip	Предыдущий трек	Previous track
PlayerNext.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	Следующий трек	Next track
PlayerNext.[using:Microsoft.UI.Xaml.Controls]ToolTipService.ToolTip	Следующий трек	Next track
PlayerSeek.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	Перемотка	Seek
PlayerMute.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	Без звука	Mute
PlayerMute.[using:Microsoft.UI.Xaml.Controls]ToolTipService.ToolTip	Без звука	Mute
PlayerVolume.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	Громкость	Volume
PlayerMore.[using:Microsoft.UI.Xaml.Automation]AutomationProperties.Name	Ещё	More
PlayerMore.[using:Microsoft.UI.Xaml.Controls]ToolTipService.ToolTip	Ещё	More
ResolvingText.Text	Получаем поток…	Getting the stream…
RetryLink.Content	Повторить	Retry
MenuStreamInfo.Text	Сведения о потоке	Stream info
StreamInfoTitle	Сведения о потоке	Stream info
StreamBitrate	Битрейт	Bitrate
StreamSource	Клиент	Client
Close	Закрыть	Close
PlayErrorNetwork	Нет соединения. Проверьте сеть или VPN	No connection. Check your network or VPN
PlayErrorBot	YouTube просит подтвердить, что вы не робот. Попробуйте позже или смените сеть	YouTube wants to check you're not a robot. Try again later or switch networks
PlayErrorGeo	Недоступно в вашем регионе	Not available in your region
